id,desarrolladora,proyecto_activo,zona,ciudad,provincia,website,instagram,fuente,segmento,estado,decisor,cargo,linkedin,whatsapp,email,notas
39,Terrazas Bourdieu (desarrollador),Terrazas Bourdieu (Bourdieu 700 Tigre),Tigre Centro,GBA Norte,Buenos Aires,terrazasbourdieu.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,4 pisos aterrazados. 1-4 amb. Todas con cochera y terraza. Cuotas en pesos. A 2 cuadras estación.
40,Remeros Brickell (desarrollador),"Remeros Brickell (3 edificios, Camino de los Remeros)",Tigre,GBA Norte,Buenos Aires,remerosbrickell.com,,Google,B - ICP probable,Sin contactar,,,,,,Primer barrio cerrado en altura de Tigre. 1-2-3 amb. US$1.800-2.000/m2. Proyección retorno 45%.
41,Emprendimientos Tigre (portal),Múltiples proyectos en Tigre,Tigre,GBA Norte,Buenos Aires,emprendimientostigre.com.ar,,Google,B - Broker / portal,Sin contactar,,,,,,"Portal de proyectos reservados para inversores. Puede ser aliado."
42,Anton Arquitectos,Anton Lavalle 1100 (Quilmes),Quilmes,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,2-3-4 amb. Entrega dic 2025. Amenities en terraza. Financiación 40% + 15 cuotas.
43,Grupo Plazaverde,Terrazas de Quilmes (Guido 445),Quilmes,GBA Sur,Buenos Aires,plazaverde.com.ar,,Google / Argenprop,B - ICP probable,Sin contactar,,,,,,Torre 4 preventa. 3-4 amb. 70-100m2. Vigilancia 24hs + amenities. Financiación hipotecaria. También 8 locales comerciales.
44,Victorina FP (constructora),Victorina FP (Gral San Martín 100 Lomas de Zamora),Lomas de Zamora,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,15 dptos en 3 pisos. Entrega sept 2025. 25% + 24 cuotas. Trayectoria en Lanús-Escalada-Banfield.
45,Genesis Avellaneda (desarrollador),Genesis Avellaneda (España 200),Avellaneda,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,11 plantas. 1-2-3-4 amb + dúplex. Desde USD 76.755. Entrega sept 2026. Centro Avellaneda.
46,Plus Barracas (desarrollador),Plus Barracas (40 dptos - 9 niveles),Barracas,CABA,Buenos Aires,plusbarracas.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,40 dptos. Piscina-gym-laundry-cowork-SUM. 54 cocheras. Diseño vanguardista.
47,Nuevo Siglo Propiedades,"Terrazas de Guzmán (12 dptos), otros en Barracas/San Telmo",Barracas / San Telmo,CABA,Buenos Aires,nuevosigloprop.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,12 dptos 2-3 amb. Cerca Parque Lezama. Inmobiliaria especializada zona sur.
48,Grand Atlántida (desarrollador),Grand Atlántida (Azopardo 500 - 61+32 residencias),San Telmo / Pto Madero,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,61+32 unidades. 1-3 dorm. Entrega ago 2026. 40% anticipo. Gym-piscina-cowork.
49,Astillero Catalinas Sur (desarrollador),Astillero Catalinas Sur (Azopardo 1300 - 15 plantas),San Telmo,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,15 plantas. 1-2 dorm. Piscina semi-olímpica. 40% anticipo + cuotas. Cerca Usina del Arte.
50,Via Cramer (desarrollador),Via Cramer (Cramer 700 - 50 dptos),Colegiales,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,50 dptos 1-2 amb en 9 pisos. Entrega junio 2027. USD 163K-297K. Piscina-cowork-gym-laundry. 40% boleto + cuotas.
51,Velvet Colección (desarrollador),Velvet Colección (Sucre 865 - 22 unidades),Belgrano,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,22 unidades 3-4 dorm. Entrega nov 2026. Piscina in-out 25mts-gym 200m2-spa-microcine. Premium.
52,Mariano Acha 2002 (desarrollador),Mariano Acha 2002 (12 unidades),Villa Urquiza,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,12 unidades 1-2 amb. Desde USD 117.284. Entrega dic 2026. Esquina frente Pza Zapiola. 35% + cuotas.
53,Terrazas de Nuñez (desarrollador),Terrazas de Nuñez (Deheza 2350 - 78 dptos),Nuñez,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,78 dptos 1-4 amb en 12 pisos. SUM-cowork-piscina-solarium-gym. Apto blanqueo.
54,Parque Caballito (desarrollador),Parque Caballito (Laferrere 1355 - 34 dptos),Caballito,CABA,Buenos Aires,,,Google / Argenprop,B - ICP probable,Sin contactar,,,,,,34 dptos 1-2 amb. Entrega marzo 2026. Construcción sustentable: paneles solares. Desde USD 102K.
55,GFT Inmobiliaria,Alto Grande Juan B. Justo (Caballito),Caballito,CABA,Buenos Aires,gftinmobiliaria.com,,Google,B - ICP probable,Sin contactar,,,,,,Monoamb y 2 amb. Desde USD 79K. SUM-solarium-laundry. Esquina JB Justo.
56,Central RE,Río de Janeiro 500 (83 viviendas - 14 pisos),Caballito,CABA,Buenos Aires,centralre.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,83 viviendas 1-4 amb. Entrega nov 2025. USD 139K-200K. Piscina-bike-parrillas. 3 ascensores inteligentes.
57,Edificio Chester (desarrollador),Edificio Chester (Yatay 1018 - Almagro),Almagro,CABA,Buenos Aires,,,Google / Nadlan,B - ICP probable,Sin contactar,,,,,,Monoamb div (36m2) desde USD 95K. 2 amb (56m2). 8 pisos. Piscina-gym-cowork-solarium. Entrega junio 2026.
58,Grupo Edisur,"Torre Verante (Nueva Córdoba), Serranas de Manantiales, Pilares de Manantiales, Flats del Parque, Casonas San Benito",Nueva Córdoba / Manantiales,Córdoba,Córdoba,grupoedisur.com.ar,@grupoedisur,Google,A - ICP ideal,Sin contactar,,,,,,20+ años. Torre Verante 54 dptos. US$1.400/m2. Lanza 1 proyecto cada 30 días. Manantiales II 680 lotes. Multi-proyecto.
59,Grupo Proaco,"Pocito Social Life (945 dptos), DUO, Opera Park, Opera Luxury, Opera Plaza, Housing del Boulevard, Docta",Nueva Córdoba / Güemes / Villa Cabrera / Docta,Córdoba,Córdoba,grupoproaco.com,@grupoproaco,Google,C - Enterprise,Sin contactar,,,,,,La más grande de Córdoba. 800K+ m2 activos. Pocito 3 torres x36 pisos. Financiación directa 10 años. Posible tech interna.
60,PRAXES,New Lands Club de Campo (3 torres x5 pisos),Luján de Cuyo / otros,Mendoza,Mendoza,,,Google,B - ICP probable,Sin contactar,,,,,,20+ años. Lofts y dptos 1-3 dorm. Piscina-gym-cowork-golf 18 hoyos-polo-tenis. Premium Mendoza.
61,Urbano Mendoza,2 edificios (34 unidades 1-2-3 amb),General Pacheco / Mendoza,Mendoza,Mendoza,urbanomendoza.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,"Sello Bio Terruño, prácticas ecosustentables. 34 unidades."
62,IMASA (constructora),Brick Alberti (40 dptos zona Paseo Aldrey),Paseo Aldrey,Mar del Plata,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,40 dptos. Entrega junio 2026. 2 amb desde USD 162.500. Doble muro. Parrillas individuales. Financiación personalizada.
63,Grupo Dinal (MdP),Punta de Arenas VII (36 dptos zona Güemes),Güemes,Mar del Plata,Buenos Aires,grupodinal.com,@grupodinal,Argenprop,B - ICP probable,Sin contactar,,,,,,36 dptos 1-2 dorm. 9 pisos. Entrega dic 2025. Paneles solares-carga EV. Sustentable.
64,Velati Propiedades,"Sofía 5 (Playa Grande), Edificio Itaim (Ayacucho 3242)",Playa Grande / Centro,Mar del Plata,Buenos Aires,velati.com.ar,,Argenprop,B - ICP probable,Sin contactar,,,,,,Itaim: desde USD 130K. 1 dorm 69m2. Entrega dic 2026. Broker/desarrollador MdP.
65,Urban View,Urban View Añelo (36 dptos 34m2),Añelo,Neuquén,Neuquén,urbanview.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,36 dptos. Entrega ene-feb 2026. Rentabilidad 12% anual. Pool de renta en USD. Vaca Muerta.
66,Grupo Uno en Uno,Nativa Housing (56 unidades en Añelo),Añelo,Neuquén,Neuquén,,,Google,B - ICP probable,Sin contactar,,,,,,56 unidades en 2 etapas. 8 meses de obra. Rentabilidad hasta 15% anual. Tickets desde US$200K.
67,ZLT,Álamos (complejo multifase Añelo),Añelo,Neuquén,Neuquén,,,Google,B - ICP probable,Sin contactar,,,,,,60 viviendas + 54 dptos entregados. 3ra etapa: oficinas-locales-hotel. Múltiples fases.
68,Diagonales Edificios,Edificio 61 (semipisos - dúplex - cocheras),Centro,La Plata,Buenos Aires,diagonalesedificios.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,15+ años trayectoria. Edificio 61 en construcción + varios finalizados. La Plata.
69,Emprendimientos Platenses,Múltiples loteos y desarrollos,Varios barrios,La Plata,Buenos Aires,emprendimientosplatenses.com,,Google,B - ICP probable,Sin contactar,,,,,,Desde 2011. Loteos semiurbanos y rurales. Financiación total. Múltiples desarrollos.
70,TRIBUS (desarrollador),TRIBUS (calle 2 entre 46 y 47 - 81 unidades - 3 torres),Centro,La Plata,Buenos Aires,,,Coldwell Banker / Google,B - ICP probable,Sin contactar,,,,,,81 unidades: monoamb + 1-2 dorm. Plaza verde elevada-cowork-cocheras. Entrega julio 2027.
71,Tizado Propiedades,Proyectos en Vicente López y zona norte,Vicente López,GBA Norte,Buenos Aires,tizado.com,@tizadopropiedades,Argenprop,B - Broker tradicional,Sin contactar,,,,,,Inmobiliaria tradicional zona norte. Intermedian emprendimientos. Posible aliado.
72,RE/MAX Data Work,Múltiples proyectos zona oeste,Zona Oeste,GBA Oeste,Buenos Aires,remaxdatawork.com.ar,,Google,B - Broker con desarrollo,Sin contactar,,,,,,Especializada Zona Oeste. Red RE/MAX. Desarrollos pre-construcción.
73,RE/MAX Premium,Múltiples proyectos CABA,Varios,CABA,Buenos Aires,remax-premium.com.ar,,Google,B - Broker especializado pozo,Sin contactar,,,,,,Análisis de inversión en pozo. Red RE/MAX. Activos en IG.
74,RE/MAX Fly,Departamentos en pozo financiados CABA,Varios,CABA,Buenos Aires,remax-fly.com.ar,,Google,B - Broker con desarrollo,Sin contactar,,,,,,Enfocada en pozo financiado. Múltiples barrios CABA.
75,TGLT,"Astor Palermo, Astor Nuñez, Astor San Telmo, Forum Alcorta, Forum Puerto Madero",Palermo / Nuñez / San Telmo / Pto Madero,CABA,Buenos Aires,tglt.com,@tglt_ok,Google,C - Enterprise,Sin contactar,,,,,,Cotiza en bolsa. 570K m2 en desarrollo. VPV US$1.300M. Demasiado grande para approach inicial.
76,Argencons,"Quartier Distrito Retiro, Quartier del Bajo, Quartier Dorrego, Quartier Madero Urbano",Retiro / Pto Madero / Palermo,CABA,Buenos Aires,argencons.com,@argencons,Google,C - Enterprise,Sin contactar,,,,,,50+ años. 1M+ m2 entregados. Línea Quartier premium. Probablemente CRM enterprise.
77,Consultatio,Nordelta y otros mega-emprendimientos,Nordelta / Pto Madero,GBA / CABA,Buenos Aires,consultatio.com.ar,@consultatio,Ranking ARQ,C - Enterprise,Sin contactar,Eduardo Costantini,Fundador,,,,"#1 ranking desarrolladores ARQ. Mega empresa. Nordelta entero."
78,Vitrium Capital,Múltiples proyectos ARG-URU-PY-EEUU,Varios,Multi-ciudad,Multi-país,vitriumcapital.com,@vitriumcapital,Google,C - Enterprise,Sin contactar,Federico Gagliardo,CEO,,,,18+ años. Multi-país. Clase media. Pueden tener tech interna.
79,IRSA,Múltiples desarrollos comerciales y residenciales,Varios,CABA / GBA,Buenos Aires,irsa.com.ar,@irsa_oficial,Ranking ARQ,C - Enterprise,Sin contactar,,,,,,#2 ranking ARQ. Empresa cotizada. Mega developer. No target ahora.
80,Terralagos (desarrollador),Terralagos (barrio cerrado con laguna),Ezeiza,GBA Sur,Buenos Aires,,,Google,B - ICP probable,Sin contactar,,,,,,Barrio cerrado con laguna. Casas y lotes. Puede no ser ICP pero validar.
81,Edificio Luis García (desarrollador),Edificio Luis García 1039 (42 dptos),Tigre Centro,GBA Norte,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,42 dptos 1-2 amb. Frente a Club Hacoaj. Entrega dic 2025. 50% anticipo + 5 cuotas.
82,MAIN TOWER (desarrollador),MAIN TOWER (Av. Maipú 1200 - 32 unidades),Vicente López,GBA Norte,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,32 semipisos 3-4 amb con ascensor privado. Desde USD 270K. Sky Terrace-piscina-sauna-gym. Premium.
83,Terrazas del Alto (desarrollador),Terrazas del Alto (Av. Centenario 700 - 31 dptos),San Isidro,GBA Norte,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,31 dptos 2-3 amb. Entrega feb 2026. Construcción al costo. 15% + 33 cuotas CAC.
84,Notre Alsina (desarrollador),Notre Alsina (Alsina 1500 - 48 dptos),Vicente López,GBA Norte,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,48 dptos monoamb a 3 dorm. Desde USD 101.400. Entrega sept 2025. Pileta-fitness-SUM. A 300m de CABA.
85,Espacio Soler (desarrollador),Espacio Soler (Soler 4700),Palermo,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,1-4 amb. Desde USD 219K. Entrega dic 2026. Piscina-parrilla-solarium-cocheras. Cerca Jardín Botánico.
86,Nice Hollywood (desarrollador),Nice Hollywood (Cabildo 20),Palermo,CABA,Buenos Aires,,,Zonaprop / Argenprop,B - ICP probable,Sin contactar,,,,,,2-3 amb. USD 233K. Entrega marzo 2026. Piscina semi-olímpica climatizada-sauna-gym-SUM-solarium.
87,Zapata 200 (desarrollador),Edificio Zapata 200 (monoamb a 4 amb),Palermo Hollywood,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,Monoamb a 4 amb. A estrenar. Balcones aterrazados. Palermo Hollywood premium.
88,San Cristóbal (desarrollador),"Edificio Estados Unidos 1700 (27m2 a 106m2, pisos 12-13 amenities)",San Cristóbal,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,1-2-3-4 amb. Desde USD 59K. Pileta infinita-jacuzzi-gym doble altura-laundry-SUM terraza. 2 pisos amenities.
89,E6 Parque de Innovación (desarrollador),E6 Parque de Innovación (Libertador 6900),Nuñez,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,1-2-3 amb. 12 pisos. Pileta-gym-SUM-cowork-parrillas. Zona universitaria UBA-UTDT-ORT.
90,Altos Los Neuquinos (desarrollador),Altos Los Neuquinos (~300 unidades),Añelo / Neuquén,Neuquén,Neuquén,,,Google,B - ICP probable,Sin contactar,,,,,,~300 unidades equipadas. Vaca Muerta. Gran volumen.
91,Añelo Nuevo (desarrollador),Añelo Nuevo (unidades sustentables),Añelo,Neuquén,Neuquén,,,Google,B - ICP probable,Sin contactar,,,,,,Unidades sustentables. 40% menos consumo AC. Retornos >10% anual. Vaca Muerta.
92,Coldwell Banker Argentina,"TRIBUS (La Plata), otros emprendimientos",Varios,Multi-ciudad,Buenos Aires,coldwellbanker.com.ar,@coldwellbankerargentina,Google,B - Broker grande,Sin contactar,,,,,,Franquicia internacional. Comercializan emprendimientos en pozo. Posible aliado estratégico.
93,RP Bienes Raíces,Brick Alberti y otros (Mar del Plata),Terminal / Paseo Aldrey,Mar del Plata,Buenos Aires,rpinmobiliaria.com.ar,,Argenprop,B - Broker MdP,Sin contactar,,,,,,Comercializan pozo en MdP. Posible aliado o cliente.
94,Edificio Quirón (desarrollador),Edificio Quirón (Lamadrid 200 - 14 dptos),Lomas de Zamora,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,14 dptos 1-2-3 amb. Desde USD 60K. Terminado. 150m de Av. Alsina. Lomas Este.
95,Punta de Arenas (serie),Punta de Arenas VII (Sarmiento 2640 Güemes MdP),Güemes,Mar del Plata,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,36 dptos 1-2 dorm. 9 pisos. Sustentable. Comercializa Grupo Dinal.
96,Edificio Castagnino (Rosario),Edificio Castagnino (Maipú 500 - 41 dptos),Centro,Rosario,Santa Fe,,,Argenprop,B - ICP probable,Sin contactar,,,,,,Ver id 18 (Di Mauro). 41 dptos. Piscina-gym-solarium-quincho. 30% + 42 cuotas.
97,Parque Caballito (constructora sustentable),Parque Caballito (Laferrere 1355),Caballito,CABA,Buenos Aires,,,Google,B - ICP probable,Sin contactar,,,,,,Nota: posible duplicado con id 54. Verificar si es misma empresa. Paneles solares + ladrillos celulares.
